Wall time,Step,Value
1555538845.9292243,161792,5.47200345993042
1555538927.400275,323584,53.918766021728516
1555539009.1828344,485376,43.519859313964844
1555539124.1672668,625664,44.28413009643555
1555539308.3488505,765952,221.86045837402344
1555539494.9629583,906240,824.2354736328125
1555539683.0346565,1046528,710.5677490234375
1555539871.657547,1186816,876.973388671875
1555540057.18092,1327104,1087.9398193359375
1555540243.2667892,1467392,981.8200073242188
1555540451.4869394,1607680,845.2740478515625
1555540637.404763,1747968,864.7705688476562
1555540950.2348971,1868288,779.0506591796875
1555541352.4528055,1988608,779.0358276367188
1555541757.7495155,2108928,729.9519653320312
1555542163.682479,2229248,614.5079956054688
1555542574.342685,2349568,438.1978759765625
1555542983.0099359,2469888,367.5142822265625
1555543388.8181884,2590208,298.1395568847656
1555543795.1770592,2710528,274.5191955566406
1555544207.6305416,2830848,253.4883575439453
1555544612.328107,2951168,252.73106384277344
1555545243.7287986,3051264,251.5245819091797
1555546126.5756352,3151360,252.01715087890625
1555547009.2599208,3251456,228.19505310058594
1555547888.9373405,3351552,206.3916015625
1555548769.1079319,3451648,174.62823486328125
1555549647.3072076,3551744,162.68704223632812
1555550522.313333,3651840,162.7259979248047
1555551393.738008,3751936,166.88795471191406
1555552272.642438,3852032,160.01019287109375
1555553143.5019994,3952128,167.33433532714844
1555554014.8176777,4052224,174.21682739257812
1555554886.0364518,4152320,185.447265625
1555555943.9826734,4232320,273.11883544921875
1555557504.5031343,4312320,333.4381103515625
1555559070.299065,4392320,286.4216613769531
1555560637.0122855,4472320,235.2716522216797
1555562194.3719816,4552320,217.31735229492188
1555563754.2466443,4632320,205.7454376220703
1555565331.830893,4712320,216.8883056640625
1555566913.3817875,4792320,233.58255004882812
1555568517.1291447,4872320,265.6791076660156
1555570170.5193431,4952320,278.2897644042969
1555571906.0066228,5032320,278.2724609375
1555573631.2611768,5112320,287.17364501953125
1555575322.463921,5192320,290.201171875
1555577035.9410105,5272320,300.0086975097656
1555578809.3444376,5352320,310.3081359863281
1555580438.5439289,5412352,308.1728515625
1555583037.7882988,5472384,353.5757141113281
1555585618.5542564,5532416,359.5846252441406
1555588210.0032153,5592448,368.9938659667969
1555590632.327462,5652480,377.9796142578125
1555592824.061154,5712512,403.81524658203125
1555595016.8066297,5772544,432.4088439941406
1555597208.2742429,5832576,453.4594421386719
1555599399.2586472,5892608,488.41265869140625
1555601590.6274316,5952640,535.9228515625
1555603774.2864807,6012672,578.9288940429688
1555605940.3469896,6072704,598.1570434570312
1555608098.1621425,6132736,623.3901977539062
1555610318.7636986,6192768,658.0681762695312
1555612832.480714,6252800,676.6793823242188
1555615387.1438217,6312832,689.4407348632812
1555617934.2973404,6372864,718.66015625
1555620473.652356,6432896,756.04150390625
1555623034.6431286,6492928,773.7791748046875
1555625274.6372385,6552960,795.1314086914062
1555627191.367974,6600128,796.72607421875
1555629111.7247434,6640128,884.6231079101562
1555631028.5506399,6680128,928.1591796875
1555632951.1198528,6720128,932.319091796875
1555634875.101814,6760128,942.0916137695312
1555636799.481396,6800128,1022.894775390625
1555638724.1734898,6840128,1006.94677734375
1555640648.6964364,6880128,1022.4575805664062
1555642688.6336753,6920128,1095.3946533203125
1555645005.548536,6960128,1111.80419921875
1555647361.4669182,7000128,1174.55859375
1555649792.2925026,7040128,1238.3179931640625
1555652240.6808972,7080128,1231.906005859375
1555654699.8740027,7120128,1252.322509765625
1555657155.8780136,7160128,1350.694580078125
1555659605.1558917,7200128,1328.8741455078125
1555662015.0942807,7240128,1392.3909912109375
1555664397.0751705,7280128,1415.9427490234375
1555666780.0129228,7320128,1488.2958984375
1555669182.5479639,7360128,1513.1209716796875
1555671524.9976892,7400128,1538.41064453125
1555673919.412906,7440128,1546.8179931640625
1555676331.0610032,7480128,1536.23779296875
1555678729.3319142,7520128,1560.2506103515625
1555681126.0794444,7560128,1631.3426513671875
1555683519.9881968,7600128,1633.0216064453125
1555685916.5914292,7640128,1638.541748046875
1555688281.0129514,7680128,1684.9263916015625
1555690670.2530174,7720128,1722.2591552734375
1555693080.3154361,7760128,1670.62939453125
1555695575.5167706,7800128,1772.0911865234375
1555697053.3308747,7820160,1874.8812255859375
1555698403.8282583,7840192,1807.6793212890625
1555699752.7981095,7860224,1852.6953125
1555701104.3598166,7880256,1963.2574462890625
1555702454.0842311,7900288,1863.437744140625
1555703805.780425,7920320,1935.448486328125
1555705157.6742363,7940352,1980.13818359375
1555706507.1477985,7960384,1914.8450927734375
1555707857.9459379,7980416,2051.83837890625
1555709207.6448908,8000448,1971.848876953125
1555710692.5915534,8020480,2001.131591796875
1555712265.4609218,8040512,2088.0234375
1555713767.7628288,8060544,2064.563720703125
1555715239.6274936,8080576,2131.9716796875
1555716710.792523,8100608,2103.65771484375
1555718184.4746826,8120640,2084.787841796875
1555719661.5045817,8140672,2107.35986328125
1555721139.9935977,8160704,2033.1553955078125
1555722617.5526557,8180736,2169.49609375
1555724077.060506,8200768,2161.66943359375
1555725534.2341554,8220800,2064.0400390625
1555726989.873217,8240832,2233.74755859375
1555728453.1718178,8260864,2264.7587890625
1555729912.804768,8280896,2316.480224609375
1555731381.7992914,8300928,2283.282958984375
1555732844.722398,8320960,2112.364501953125
1555734309.6519377,8340992,2217.38671875
1555735778.8103616,8361024,2295.02783203125
1555737240.5183094,8381056,2308.71044921875
1555738726.8121119,8401088,2249.916748046875
1555740162.8989227,8421120,2365.21875
1555741581.8592882,8441152,2360.537109375
1555742998.539458,8461184,2317.4287109375
1555744412.9267697,8481216,2392.842529296875
1555745842.9981318,8501248,2393.707763671875
1555747288.3050568,8521280,2382.586181640625
1555748737.6536849,8541312,2362.62890625
1555750182.4591804,8561344,2327.744384765625
1555751615.327544,8581376,2330.6279296875
1555753047.0829258,8601408,2394.00732421875
1555754464.9382317,8621440,2372.892822265625
1555755872.8210752,8641472,2504.2119140625
1555757279.1090033,8661504,2397.80029296875
1555758681.1733048,8681536,2455.043212890625
1555760096.7954373,8701568,2440.08837890625
1555761502.100683,8721600,2434.484130859375
1555762888.586949,8741632,2483.128662109375
1555764268.569148,8761664,2526.7734375
1555765671.0792415,8781696,2416.801025390625
1555767079.1226833,8801728,2412.465576171875
1555768489.1898928,8821760,2458.742431640625
1555769899.007224,8841792,2583.103759765625
1555771308.7911322,8861824,2465.22998046875
1555772715.9163053,8881856,2493.16064453125
1555774126.487387,8901888,2593.4716796875
1555775533.6033463,8921920,2535.00634765625
1555776944.5841582,8941952,2512.98291015625
1555778365.6011114,8961984,2661.471923828125
1555779781.7882714,8982016,2506.428466796875
1555781197.52436,9002048,2613.77587890625
1555782627.2319996,9022080,2504.2744140625
1555784046.4688163,9042112,2652.943603515625
1555785465.2801383,9062144,2636.15087890625
1555786911.4377916,9082176,2701.25146484375
1555788392.5956595,9102208,2533.34375
1555789878.9556124,9122240,2644.41259765625
1555791380.5240576,9142272,2602.107421875
1555792880.2805436,9162304,2623.14990234375
1555794382.0514183,9182336,2558.567138671875
1555795882.088938,9202368,2651.82470703125
1555797389.8560188,9222400,2601.6953125
1555798898.4526517,9242432,2580.7685546875
1555800402.5904562,9262464,2563.907958984375
1555801909.7576587,9282496,2632.105712890625
1555803405.6234884,9302528,2579.299560546875
1555804906.5572977,9322560,2613.8212890625
1555806388.2589805,9342592,2668.30078125
1555807877.6414213,9362624,2692.86474609375
1555809378.5527425,9382656,2567.59033203125
1555810885.6541274,9402688,2553.00390625
1555812362.3042834,9422720,2606.330322265625
1555813843.9239178,9442752,2574.468994140625
1555815320.5704212,9462784,2563.4482421875
1555816804.7578986,9482816,2650.609130859375
1555818290.3749714,9502848,2728.927490234375
1555819784.013333,9522880,2677.83447265625
1555821278.7323258,9542912,2662.54833984375
1555822777.4865868,9562944,2656.239501953125
1555824278.3950522,9582976,2594.3154296875
1555825778.8294725,9603008,2654.4130859375
1555827263.3545277,9623040,2671.170166015625
1555828737.5994298,9643072,2630.44140625
1555830183.2070076,9663104,2688.93603515625
1555831662.420978,9683136,2584.215576171875
1555833128.6110244,9703168,2712.937744140625
1555834599.0659242,9723200,2632.923828125
1555836074.0833442,9743232,2680.447265625
1555837587.1920128,9763264,2680.283447265625
1555839087.2383826,9783296,2677.0234375
1555840583.3426218,9803328,2624.143798828125
1555842065.1652193,9823360,2770.5107421875
1555843550.4571548,9843392,2722.3876953125
1555845044.6977985,9863424,2701.699462890625
1555846548.3982553,9883456,2717.869873046875
1555848039.5475988,9903488,2616.014404296875
1555849533.7319036,9923520,2772.500244140625
1555851031.9918976,9943552,2667.895263671875
1555852530.9615884,9963584,2725.394287109375
1555854004.532655,9983616,2822.90576171875
1555855507.9090502,10003648,2714.042236328125
1555857010.80819,10023680,2691.523681640625
1555858505.2293253,10043712,2747.5830078125
1555860013.2439568,10063744,2722.26123046875
1555861522.1913197,10083776,2807.44970703125
1555863007.2359622,10103808,2682.470458984375
1555864488.8990297,10123840,2698.0830078125
1555865985.9169078,10143872,2752.8447265625
1555867478.9930382,10163904,2720.127197265625
1555868968.3605895,10183936,2715.48779296875
1555870459.425814,10203968,2660.556640625
1555871953.1549697,10224000,2804.36181640625
1555873460.5306146,10244032,2694.77685546875
1555874955.8509407,10264064,2747.48046875
1555876416.8174942,10284096,2804.541015625
1555877893.0011723,10304128,2718.017578125
1555879386.2496822,10324160,2772.001220703125
1555880881.4082592,10344192,2757.65185546875
1555882377.487588,10364224,2680.9326171875
1555883870.1639302,10384256,2802.372314453125
1555885370.948202,10404288,2669.0400390625
1555886875.4150474,10424320,2710.601318359375
1555888388.9735978,10444352,2762.431396484375
1555889887.937919,10464384,2659.852783203125
1555891380.8590913,10484416,2794.001708984375
1555892867.465684,10504448,2710.117431640625
1555894358.7718978,10524480,2746.218994140625
1555895856.505363,10544512,2899.306396484375
1555897346.153121,10564544,2684.601318359375
1555898841.2299156,10584576,2818.118896484375
1555900331.657909,10604608,2890.7412109375
1555901832.266288,10624640,2749.99365234375
1555903327.840277,10644672,2792.78662109375
1555904820.2519119,10664704,2637.49169921875
1555906316.5563297,10684736,2764.37646484375
1555907841.0830164,10704768,2646.96435546875
1555909343.4647813,10724800,2799.1630859375
1555910848.2519112,10744832,2759.330078125
1555912347.2743583,10764864,2676.41796875
1555913848.715167,10784896,2729.818359375
1555915332.98044,10804928,2660.52197265625
1555916841.286532,10824960,2766.149658203125
1555918346.9980717,10844992,2767.023681640625
1555919828.5920208,10865024,2620.831787109375
1555921313.0064197,10885056,2712.493896484375
1555922813.4469564,10905088,2671.10791015625
1555924303.7540054,10925120,2652.7734375
1555925801.400334,10945152,2760.033447265625
1555927307.1807947,10965184,2585.867919921875
1555928791.0601218,10985216,2822.1337890625
1555930270.4801118,11005248,2691.07763671875
1555931772.432751,11025280,2677.011474609375
1555933273.3261046,11045312,2739.39990234375
1555934740.5386686,11065344,2615.115966796875
1555936217.7539957,11085376,2828.012451171875
1555937728.4566987,11105408,2734.71533203125
1555939243.2842033,11125440,2683.470947265625
1555940754.229802,11145472,2677.266845703125
1555942229.3212461,11165504,2669.381591796875
1555943739.2370896,11185536,2716.803466796875
1555945244.432454,11205568,2718.391357421875
1555946759.486144,11225600,2720.444580078125
1555948247.5560832,11245632,2691.386474609375
1555949741.4688573,11265664,2680.74951171875
1555951221.2579503,11285696,2670.821044921875
1555952711.7161882,11305728,2729.398681640625
1555954200.6111493,11325760,2763.49951171875
1555955681.549931,11345792,2636.135009765625
1555957178.2541625,11365824,2649.132080078125
1555958684.1303852,11385856,2621.680419921875
1555960172.7827227,11405888,2669.939208984375
1555961675.0132074,11425920,2725.155517578125
1555963154.7889605,11445952,2768.58203125
1555964642.624352,11465984,2697.173095703125
1555966125.0645185,11486016,2615.555908203125
1555967600.2171588,11506048,2650.638427734375
1555969119.4195035,11526080,2631.95458984375
1555970612.1258943,11546112,2599.417236328125
1555972099.106337,11566144,2746.494873046875
1555973605.2644396,11586176,2701.168212890625
1555975107.051885,11606208,2695.104248046875
1555976627.9186652,11626240,2757.99951171875
1555978121.688661,11646272,2725.53759765625
1555979599.0399237,11666304,2692.402587890625
1555981092.7074747,11686336,2860.94287109375
1555982576.6229887,11706368,2650.856689453125
1555984093.5735936,11726400,2649.08056640625
1555985600.078994,11746432,2737.010498046875
1555987103.5689123,11766464,2754.636474609375
1555988607.7849162,11786496,2679.49169921875
1555990102.0499341,11806528,2718.69677734375
1555991591.2582421,11826560,2746.958984375
1555993086.693224,11846592,2637.89501953125
1555994582.6821597,11866624,2642.1171875
1555996081.6150522,11886656,2631.968017578125
1555997576.2127051,11906688,2584.159423828125
1555999081.5572062,11926720,2607.806884765625
1556000557.0541122,11946752,2729.19189453125
1556002038.6425533,11966784,2744.346923828125
1556003530.7268977,11986816,2664.134765625
1556004502.9523199,12000000,2612.345458984375
