step,_fake,real,mixnorm,eps,,g_loss,d_loss
161792,-3.097289562,-1.242125988,0.095999464,5.47200346,,3.097289562,6.322478113
323584,-0.838353574,-0.867987514,0.297909558,53.91876602,,0.838353574,5.012862595
485376,-2.199244738,-2.075068712,0.450187862,43.51985931,,2.199244738,2.942277706
625664,-1.192917466,-0.667826235,0.506132066,44.2841301,,1.192917466,1.958248259
765952,-4.542731762,-1.297538161,0.601358235,221.8604584,,4.542731762,-1.434180573
906240,-14.32193375,-2.179499388,1.313188791,824.2354736,,14.32193375,-10.3373267
1046528,-18.78075981,-3.568896055,1.42192328,710.567749,,18.78075981,-12.72110347
1186816,-17.82141304,-1.410673738,1.362340927,876.9733887,,17.82141304,-14.22085644
1327104,-19.47851944,-1.416488647,1.464831948,1087.939819,,19.47851944,-14.81340357
1467392,-14.29567337,-1.170981526,1.332553029,981.8200073,,14.29567337,-11.03695667
1607680,-11.71394539,-0.931691527,1.262436748,845.2740479,,11.71394539,-9.248249349
1747968,-9.119926453,-0.815697968,1.199819326,864.7705688,,9.119926453,-7.040180284
1868288,-8.080212593,-0.917740822,1.153578877,779.0506592,,8.080212593,-6.147556396
1988608,-7.473095417,-0.550752938,1.145186424,779.0358276,,7.473095417,-5.932515674
2108928,-7.294476032,-0.328670055,1.168278337,729.9519653,,7.294476032,-5.952678027
2229248,-7.08232832,-0.213184148,1.167680979,614.5079956,,7.08232832,-5.973467069
2349568,-6.854696274,-0.053764198,1.208584785,438.197876,,6.854696274,-5.927658073
2469888,-6.625730515,-0.051465623,1.22636652,367.5142822,,6.625730515,-5.694332596
2590208,-5.748558998,-0.025716625,1.201512098,298.1395569,,5.748558998,-5.018631558
2710528,-5.611083508,0.002263355,1.198736668,274.5191956,,5.611083508,-4.943865036
2830848,-5.384670734,-0.05035245,1.192822814,253.4883575,,5.384670734,-4.70902355
2951168,-5.223370552,-0.000203987,1.186858177,252.7310638,,5.223370552,-4.621275718
3051264,-4.835772514,-0.058259811,1.175879478,251.5245819,,4.835772514,-4.216652212
3151360,-4.839660168,-0.033815823,1.179163218,252.0171509,,4.839660168,-4.232832608
3251456,-4.840713024,0.058281891,1.188236594,228.1950531,,4.840713024,-4.316469708
3351552,-4.560610771,0.085367449,1.181174755,206.3916016,,4.560610771,-4.111343699
3451648,-4.444085598,0.144309893,1.185894847,174.6282349,,4.444085598,-4.068198315
3551744,-4.503820419,0.112937316,1.189872384,162.6870422,,4.503820419,-4.093555471
3651840,-4.662083626,0.079426736,1.193671703,162.7259979,,4.662083626,-4.203697077
3751936,-4.650725365,0.038664743,1.18531847,166.8879547,,4.650725365,-4.1790728
3852032,-4.723907948,0.039014202,1.18612206,160.0101929,,4.723907948,-4.256497745
3952128,-4.951499462,0.041087665,1.193349123,167.3343353,,4.951499462,-4.451413958
4052224,-5.277763844,0.032360319,1.202653289,174.2168274,,5.277763844,-4.72522378
4152320,-5.543029785,0.004951162,1.210171819,185.4472656,,5.543029785,-4.920811747
4232320,-5.692753315,0.062017579,1.213845015,273.1188354,,5.692753315,-5.024355156
4312320,-5.588433266,0.077738822,1.209690094,333.4381104,,5.588433266,-4.893034622
4392320,-5.99018383,0.023687171,1.223628759,286.4216614,,5.99018383,-5.227351119
4472320,-5.919881344,0.038656581,1.224501133,235.2716522,,5.919881344,-5.219258686
4552320,-6.250681877,0.034904193,1.237039208,217.3173523,,6.250681877,-5.506392855
4632320,-6.776342392,-0.046403416,1.252150059,205.7454376,,6.776342392,-5.888397018
4712320,-6.947389126,0.027630651,1.260459065,216.8883057,,6.947389126,-6.079742224
4792320,-7.422366619,0.001287268,1.274154544,233.58255,,7.422366619,-6.438464197
4872320,-7.96302557,-0.034577321,1.286241889,265.6791077,,7.96302557,-6.843424951
4952320,-8.325482368,0.019580243,1.294901133,278.2897644,,8.325482368,-7.197106067
5032320,-8.593820572,0.004755089,1.301728606,278.2724609,,8.593820572,-7.409901681
5112320,-9.09444046,-0.061110396,1.313438416,287.173645,,9.09444046,-7.763720016
5192320,-9.507644653,0.004400848,1.326282263,290.2011719,,9.507644653,-8.15724318
5272320,-10.06293869,-0.047301967,1.33947885,300.0086975,,10.06293869,-8.563169128
5352320,-10.53980923,-0.05028687,1.35212028,310.308136,,10.53980923,-8.939327303
5412352,-10.82564163,-0.063314497,1.360985637,308.1728516,,10.82564163,-9.151047984
5472384,-10.58529186,-0.030412141,1.354851365,353.5757141,,10.58529186,-8.942109094
5532416,-11.06935406,-0.062261447,1.365169525,359.5846252,,11.06935406,-9.314020164
5592448,-11.70297337,-0.103518322,1.381533146,368.993866,,11.70297337,-9.774785763
5652480,-12.26849556,-0.047981188,1.396762848,377.9796143,,12.26849556,-10.26832718
5712512,-12.88812923,-0.091643773,1.409941673,403.8152466,,12.88812923,-10.71214846
5772544,-13.77045441,-0.044651367,1.431806684,432.408844,,13.77045441,-11.42882408
5832576,-14.66567993,-0.111840248,1.452124,453.4594421,,14.66567993,-12.05621913
5892608,-15.59560871,-0.047506999,1.475708246,488.4126587,,15.59560871,-12.7967057
5952640,-16.86759186,-0.170182049,1.501925826,535.9228516,,16.86759186,-13.64219161
6012672,-18.00729752,-0.169561535,1.528045774,578.928894,,18.00729752,-14.4704837
6072704,-18.63690186,-0.10590075,1.541541815,598.1570435,,18.63690186,-15.00016869
6132736,-19.36652374,-0.031616744,1.557938099,623.3901978,,19.36652374,-15.59856758
6192768,-20.06661034,-0.119113818,1.569599748,658.0681763,,20.06661034,-16.04498962
6252800,-20.90419006,-0.089959696,1.58707726,676.6793823,,20.90419006,-16.69095389
6312832,-21.54509354,-0.146450981,1.598742604,689.4407349,,21.54509354,-17.12427476
6372864,-22.52579498,-0.049702108,1.620049477,718.6601563,,22.52579498,-17.91281918
6432896,-23.40419197,-0.134206906,1.634973288,756.0415039,,23.40419197,-18.4820328
6492928,-23.97085381,-0.078848347,1.646944046,773.7791748,,23.97085381,-18.9328603
6552960,-24.77554893,-0.058056682,1.662523508,795.1314087,,24.77554893,-19.53298686
6600128,-25.30732155,-0.100407265,1.672517776,796.7260742,,25.30732155,-19.88738661
6640128,-22.82693481,0.12666662,1.626320839,884.6231079,,22.82693481,-18.14620039
6680128,-24.15288544,0.038036603,1.646735907,928.1591797,,24.15288544,-19.08008953
6720128,-24.87731171,0.041850939,1.659816742,932.3190918,,24.87731171,-19.63326222
6760128,-25.75051308,0.06810303,1.678440571,942.0916138,,25.75051308,-20.27370841
6800128,-26.79828072,0.04364644,1.69403553,1022.894775,,26.79828072,-21.00217921
6840128,-27.60029411,-0.028104821,1.709197283,1006.946777,,27.60029411,-21.53563466
6880128,-28.17318726,-0.009036273,1.719402909,1022.457581,,28.17318726,-21.96628794
6920128,-29.25430298,0.041833598,1.737768769,1095.394653,,29.25430298,-22.75771435
6960128,-29.91578674,-0.01577002,1.748492956,1111.804199,,29.91578674,-23.18579547
7000128,-31.39786339,-0.000974808,1.77411449,1174.558594,,31.39786339,-24.22979756
7040128,-32.09408188,0.049516711,1.784783602,1238.317993,,32.09408188,-24.74642758
7080128,-32.78251266,-0.007276807,1.795738697,1231.906006,,32.78251266,-25.21132911
7120128,-33.95318985,0.021983929,1.81705606,1252.32251,,33.95318985,-26.04704522
7160128,-35.59608078,-0.07769645,1.842263103,1350.69458,,35.59608078,-27.07361841
7200128,-36.35660934,-0.150219306,1.855975747,1328.874146,,36.35660934,-27.5505711
7240128,-37.07358551,-0.016679974,1.867697477,1392.390991,,37.07358551,-28.13552542
7280128,-38.26937485,-0.100264512,1.886080027,1415.942749,,38.26937485,-28.90178945
